"id","role","forest_id","person_id","valid_from","valid_to","note","created_at","created_by","updated_at","updated_by"
136,2,69,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
137,1,70,45,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
138,2,70,45,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
139,1,71,33,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
140,2,71,17,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
141,1,72,22,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
142,2,72,22,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
143,1,73,2,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
144,2,73,2,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
145,1,74,10,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
146,2,74,10,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
147,1,75,88,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
148,2,75,88,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
149,1,76,77,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
150,2,76,32,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
151,1,77,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
152,2,77,35,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
153,1,78,36,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
154,2,78,36,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
155,1,79,8,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
156,2,79,8,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
157,1,80,20,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
158,2,80,14,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
159,1,81,85,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
160,2,81,23,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
161,1,82,85,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
162,2,82,23,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
163,1,83,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
164,2,83,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
165,1,84,85,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
166,2,84,23,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
167,1,85,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
168,2,85,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
169,1,86,77,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
170,2,86,32,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
171,1,87,1,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
172,2,87,1,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
173,1,88,82,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
174,2,88,8,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
175,1,89,77,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
176,2,89,32,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
177,1,91,33,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
178,2,91,17,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
179,1,93,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
180,2,93,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
181,1,95,53,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
182,2,95,53,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
183,1,96,40,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
184,2,96,40,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
185,1,97,40,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
186,2,97,40,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
187,1,98,40,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
188,2,98,40,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
189,1,99,53,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
190,2,99,53,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
191,1,100,85,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
192,2,100,23,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
193,1,101,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
194,2,101,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
195,1,102,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
196,2,102,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
197,1,103,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
198,2,103,50,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
199,1,104,43,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
200,2,104,43,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
201,1,106,81,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
202,2,106,29,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
203,1,107,34,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
204,2,107,34,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
205,1,108,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
206,2,108,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
207,1,110,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
208,2,110,13,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
209,1,112,77,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
210,2,112,32,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
211,1,113,83,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
212,2,113,27,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
213,1,114,3,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
214,2,114,3,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
215,1,115,7,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
216,2,115,4,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
217,1,116,7,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
218,2,116,4,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
219,1,117,7,"1900-01-01",NULL,"","2026-01-17 07:20:12.566443+00",1,"2026-01-17 07:20:12.566443+00",1
